# tau1,tau2,tau3
1.263949075911269837e+01,3.381708579741951048e+00,8.679283099747615582e-01
1.263844744009975685e+01,3.381888943443191575e+00,8.681440244049873911e-01
1.263740416316406368e+01,3.382069984049702160e+00,8.683595590321901980e-01
1.263636092864706129e+01,3.382251701565666568e+00,8.685749137700572442e-01
1.263531773689025783e+01,3.382434095994749867e+00,8.687900885324134626e-01
1.263427458823518990e+01,3.382617167340094877e+00,8.690050832332457675e-01
1.263323148302337806e+01,3.382800915604314174e+00,8.692198977866293363e-01
1.263218842159634470e+01,3.382985340789452344e+00,8.694345321067993293e-01
1.263114540429561217e+01,3.383170442897034391e+00,8.696489861081069250e-01
1.263010243146279699e+01,3.383356221928063068e+00,8.698632597050669490e-01
1.262905950343937000e+01,3.383542677882974026e+00,8.700773528122629497e-01
1.262801662056701169e+01,3.383729810761722412e+00,8.702912653444782043e-01
1.262697378318716268e+01,3.383917620563622108e+00,8.705049972165544991e-01
1.262593099164159938e+01,3.384106107287620624e+00,8.707185483435476714e-01
1.262488824627184592e+01,3.384295270932006883e+00,8.709319186405563018e-01
1.262384554741955967e+01,3.384485111494553333e+00,8.711451080228731492e-01
1.262280289542638023e+01,3.384675628972546146e+00,8.713581164058797901e-01
1.262176029063397742e+01,3.384866823362696842e+00,8.715709437050920272e-01
1.262071773338408320e+01,3.385058694661245315e+00,8.717835898361780966e-01
1.261967522401834252e+01,3.385251242863810184e+00,8.719960547149030461e-01
1.261863276287852642e+01,3.385444467965572635e+00,8.722083382571719223e-01
1.261759035030642373e+01,3.385638369961170735e+00,8.724204403790278839e-01
1.261654798664373267e+01,3.385832948844659462e+00,8.726323609966005757e-01
1.261550567223233799e+01,3.386028204609637271e+00,8.728441000262003868e-01
1.261446340741396099e+01,3.386224137249090216e+00,8.730556573842078727e-01
1.261342119253052729e+01,3.386420746755581135e+00,8.732670329871722315e-01
1.261237902792393584e+01,3.386618033121101767e+00,8.734782267517599008e-01
1.261133691393598610e+01,3.386815996337081636e+00,8.736892385947151451e-01
1.261029485090870850e+01,3.387014636394489742e+00,8.739000684329762958e-01
1.260925283918396467e+01,3.387213953283730650e+00,8.741107161835398598e-01
1.260821087910385607e+01,3.387413946994751512e+00,8.743211817635764271e-01
1.260716897101036160e+01,3.387614617516867543e+00,8.745314650903694975e-01
1.260612711524544594e+01,3.387815964838964966e+00,8.747415660812596361e-01
1.260508531215135797e+01,3.388017988949404202e+00,8.749514846538312129e-01
1.260404356207005172e+01,3.388220689835933719e+00,8.751612207256729281e-01
1.260300186534377964e+01,3.388424067485922286e+00,8.753707742145589998e-01
1.260196022231474799e+01,3.388628121886131606e+00,8.755801450383844386e-01
