# tau1,tau2,tau3
1.139470939668407290e+01,4.573085651062621437e+00,8.451936830783388643e-01
1.139009095604968635e+01,4.569256795216371181e+00,8.440670871137015974e-01
1.139164147183016418e+01,4.570518129663139639e+00,8.441876283862498331e-01
1.139293759456234945e+01,4.571575058518492440e+00,8.442703588242036483e-01
1.139401877167087562e+01,4.572458476288343121e+00,8.443222716136329353e-01
1.139491851675491851e+01,4.573194821541388677e+00,8.443492809041769354e-01
1.139566530706885317e+01,4.573806711997971952e+00,8.443563771250796046e-01
1.139628334066238580e+01,4.574313487368048214e+00,8.443477600853120935e-01
1.139679317618595711e+01,4.574731673888112304e+00,8.443269531463561961e-01
1.139721227441181917e+01,4.575075382290007653e+00,8.442969012419184738e-01
1.139755545727337527e+01,4.575356649087640726e+00,8.442600550897708667e-01
1.139783529755517932e+01,4.575585729526366663e+00,8.442184435822116528e-01
1.139806245016702313e+01,4.575771349251328779e+00,8.441737360411721847e-01
1.139824593412212472e+01,4.575920920671888048e+00,8.441272957717722569e-01
1.139839337284106513e+01,4.576040729093893589e+00,8.440802261359693359e-01
1.139851119916333388e+01,4.576136092930488175e+00,8.440334101891023844e-01
1.139860483042056671e+01,4.576211501661367365e+00,8.439875447710822876e-01
1.139867881807175642e+01,4.576270734669821927e+00,8.439431698161123929e-01
1.139873697569080413e+01,4.576316963630039147e+00,8.439006935363667639e-01
1.139878248850434339e+01,4.576352840730452343e+00,8.438604140428893619e-01
1.139881800718361937e+01,4.576380574690937841e+00,8.438225378884742778e-01
1.139884572818032460e+01,4.576401996253135707e+00,8.437871959503284724e-01
1.139886746254915195e+01,4.576418614585947786e+00,8.437544570130213195e-01
1.139888469490867884e+01,4.576431665846397046e+00,8.437243393632293254e-01
1.139889863394666492e+01,4.576442154963445752e+00,8.436968206656807467e-01
1.139891025566892147e+01,4.576450891564864953e+00,8.436718463535303192e-01
1.139892034041611701e+01,4.576458520840997579e+00,8.436493367352729811e-01
1.139892950452490616e+01,4.576465550031028506e+00,8.436291929934611744e-01
1.139893822738394569e+01,4.576472371124140182e+00,8.436113022272607731e-01
1.139894687452891020e+01,4.576479280288212159e+00,8.435955416708773580e-01
1.139895571732958857e+01,4.576486494469673261e+00,8.435817822024825885e-01
1.139896494974465035e+01,4.576494165548783855e+00,8.435698912432212371e-01
1.139897470255349532e+01,4.576502392383386741e+00,8.435597351328089077e-01
1.139898505541790996e+01,4.576511231029884996e+00,8.435511810568712132e-01
1.139899604707762037e+01,4.576520703391794953e+00,8.435440985912803225e-01
1.139900768394223540e+01,4.576530804513219586e+00,8.435383609201729804e-01
1.139901994730611179e+01,4.576541508705651573e+00,8.435338457768020159e-01
1.139903279938186031e+01,4.576552774671698742e+00,8.435304361498738857e-01
1.139904618832156125e+01,4.576564549767605072e+00,8.435280207923043783e-01
1.139906005237187792e+01,4.576576773527680331e+00,8.435264945643680123e-01
1.139907432328933545e+01,4.576589380557368969e+00,8.435257586388720252e-01
1.139908892912479565e+01,4.576602302887446960e+00,8.435257205921918855e-01
1.139910379647166572e+01,4.576615471869597940e+00,8.435262944017284381e-01
1.139911885225894927e+01,4.576628819682625249e+00,8.435274003674139154e-01
1.139913402515962204e+01,4.576642280509415350e+00,8.435289649724293515e-01
1.139914924667485785e+01,4.576655791436452070e+00,8.435309206960620587e-01
1.139916445194629091e+01,4.576669293120660065e+00,8.435332057897445557e-01
1.139917958034128098e+01,4.576682730262105814e+00,8.435357640256311296e-01
1.139919457584971241e+01,4.576696051915742025e+00,8.435385444256324750e-01
1.139920938732552358e+01,4.576709211670690003e+00,8.435415009775645290e-01
1.139922396860124998e+01,4.576722167721420043e+00,8.435445923439666149e-01
1.139923827849983340e+01,4.576734882851758002e+00,8.435477815682201896e-01
1.139925228076430130e+01,4.576747324349399904e+00,8.435510357817389560e-01
1.139926594392288095e+01,4.576759463866126865e+00,8.435543259153476248e-01
1.139927924110429736e+01,4.576771277236399982e+00,8.435576264172999217e-01
1.139929214981592764e+01,4.576782744265195824e+00,8.435609149799180306e-01
1.139930465169505069e+01,4.576793848494026484e+00,8.435641722763466133e-01
1.139931673224217867e+01,4.576804576952707038e+00,8.435673817085520554e-01
1.139932838054358477e+01,4.576814919903073431e+00,8.435705291673796236e-01
1.139933958898904365e+01,4.576824870579777382e+00,8.435736028051894486e-01
1.139935035298957899e+01,4.576834424932285650e+00,8.435765928213777576e-01
1.139936067069926295e+01,4.576843581371417891e+00,8.435794912608939322e-01
1.139937054274400552e+01,4.576852340523066331e+00,8.435822918257080971e-01
1.139937997195979769e+01,4.576860704991084994e+00,8.435849896990393892e-01
1.139938896314234462e+01,4.576868679130932094e+00,8.435875813820840063e-01
1.139939752280922391e+01,4.576876268835114558e+00,8.435900645428592304e-01
1.139940565897570046e+01,4.576883481331192272e+00,8.435924378767437615e-01
1.139941338094453904e+01,4.576890324992794135e+00,8.435947009782357453e-01
1.139942069911034217e+01,4.576896809163833346e+00,8.435968542234117962e-01
1.139942762477830129e+01,4.576902943995909467e+00,8.435988986625531094e-01
1.139943416999724590e+01,4.576908740298745393e+00,8.436008359223845510e-01
1.139944034740677914e+01,4.576914209403324385e+00,8.436026681173703912e-01
1.139944617009796524e+01,4.576919363037378119e+00,8.436043977695112384e-01
1.139945165148713890e+01,4.576924213212653747e+00,8.436060277360839521e-01
1.139945680520224869e+01,4.576928772123523004e+00,8.436075611447981792e-01
1.139946164498112680e+01,4.576933052056279649e+00,8.436090013358320538e-01
1.139946618458088423e+01,4.576937065308499974e+00,8.436103518102400223e-01
1.139947043769793211e+01,4.576940824117911255e+00,8.436116161842489580e-01
1.139947441789784044e+01,4.576944340600068273e+00,8.436127981489710548e-01
1.139947813855435221e+01,4.576947626694243709e+00,8.436139014350876320e-01
1.139948161279684946e+01,4.576950694116916907e+00,8.436149297820821902e-01
1.139948485346566898e+01,4.576953554322216178e+00,8.436158869116202608e-01
1.139948787307457856e+01,4.576956218468808402e+00,8.436167765047062339e-01
1.139949068377977426e+01,4.576958697392595532e+00,8.436176021822561211e-01
1.139949329735484618e+01,4.576961001584729516e+00,8.436183674887614004e-01
1.139949572517115151e+01,4.576963141174421601e+00,8.436190758787336375e-01
1.139949797818296240e+01,4.576965125916071742e+00,8.436197307056459982e-01
1.139950006691707785e+01,4.576966965180276681e+00,8.436203352131071975e-01
1.139950200146618720e+01,4.576968667948253078e+00,8.436208925280160864e-01
1.139950379148576154e+01,4.576970242809333733e+00,8.436214056554800500e-01
1.139950544619393114e+01,4.576971697961142560e+00,8.436218774752863858e-01
1.139950697437401317e+01,4.576973041212107240e+00,8.436223107397343712e-01
1.139950838437932568e+01,4.576974279986004035e+00,8.436227080726542704e-01
1.139950968414003007e+01,4.576975421328265625e+00,8.436230719694611802e-01
1.139951088117157951e+01,4.576976471913750011e+00,8.436234047980923911e-01
1.139951198258463627e+01,4.576977438055759961e+00,8.436237088007010332e-01
1.139951299509612781e+01,4.576978325716103413e+00,8.436239860959897641e-01
1.139951392504132954e+01,4.576979140515987865e+00,8.436242386820794747e-01
1.139951477838657823e+01,4.576979887747548048e+00,8.436244684398103155e-01
1.139951556074265326e+01,4.576980572385896728e+00,8.436246771364024344e-01
1.139951627737856477e+01,4.576981199101529008e+00,8.436248664293920507e-01
1.139951693323559390e+01,4.576981772272951332e+00,8.436250378707758069e-01
1.139951753294148773e+01,4.576982295999440176e+00,8.436251929113111059e-01
1.139951808082467899e+01,4.576982774113825592e+00,8.436253329049138161e-01
1.139951858092856618e+01,4.576983210195229468e+00,8.436254591131143732e-01
1.139951903702546687e+01,4.576983607581643021e+00,8.436255727095229862e-01
1.139951945263053013e+01,4.576983969382349748e+00,8.436256747842822978e-01
1.139951983101530253e+01,4.576984298490065939e+00,8.436257663484678648e-01
1.139952017522100114e+01,4.576984597592815618e+00,8.436258483384210249e-01
1.139952048807142226e+01,4.576984869185473315e+00,8.436259216199855082e-01
1.139952077218545945e+01,4.576985115580946228e+00,8.436259869926373556e-01
1.139952102998920225e+01,4.576985338920970037e+00,8.436260451934877169e-01
1.139952126372757846e+01,4.576985541186523676e+00,8.436260969011559752e-01
1.139952147547558425e+01,4.576985724207824013e+00,8.436261427394958767e-01
1.139952166714901338e+01,4.576985889673896857e+00,8.436261832811762229e-01
1.139952184051469430e+01,4.576986039141727858e+00,8.436262190511032433e-01
1.139952199720032588e+01,4.576986174045003963e+00,8.436262505296961978e-01
1.139952213870380326e+01,4.576986295702411667e+00,8.436262781559977775e-01
1.139952226640204280e+01,4.576986405325516039e+00,8.436263023306294073e-01
1.139952238155939135e+01,4.576986504026242741e+00,8.436263234185937820e-01
1.139952248533558787e+01,4.576986592823957700e+00,8.436263417519274110e-01
1.139952257879326325e+01,4.576986672652124888e+00,8.436263576321929580e-01
1.139952266290501370e+01,4.576986744364618609e+00,8.436263713328369107e-01
1.139952273856009057e+01,4.576986808741639656e+00,8.436263831013979253e-01
1.139952280657062644e+01,4.576986866495274420e+00,8.436263931615796130e-01
1.139952286767752909e+01,4.576986918274722704e+00,8.436264017151918759e-01
1.139952292255601662e+01,4.576986964671194258e+00,8.436264089439658997e-01
1.139952297182072627e+01,4.576987006222463350e+00,8.436264150112426918e-01
1.139952301603057272e+01,4.576987043417161338e+00,8.436264200635521515e-01
1.139952305569320323e+01,4.576987076698747714e+00,8.436264242320755669e-01
1.139952309126920760e+01,4.576987106469220912e+00,8.436264276340055268e-01
1.139952312317601191e+01,4.576987133092573323e+00,8.436264303738062464e-01
1.139952315179147568e+01,4.576987156897995845e+00,8.436264325443789680e-01
1.139952317745727406e+01,4.576987178182840843e+00,8.436264342281371009e-01
1.139952320048199930e+01,4.576987197215395042e+00,8.436264354980034241e-01
1.139952322114402428e+01,4.576987214237399293e+00,8.436264364183165831e-01
1.139952323969420434e+01,4.576987229466437768e+00,8.436264370456811879e-01
1.139952325635828778e+01,4.576987243098071367e+00,8.436264374297299806e-01
1.139952327133921095e+01,4.576987255307868097e+00,8.436264376138364884e-01
1.139952328481918364e+01,4.576987266253230047e+00,8.436264376357592853e-01
1.139952329696159339e+01,4.576987276075097810e+00,8.436264375282340744e-01
1.139952330791276758e+01,4.576987284899492359e+00,8.436264373195105915e-01
1.139952331780361661e+01,4.576987292838957444e+00,8.436264370338449892e-01
1.139952332675109226e+01,4.576987299993848346e+00,8.436264366919442592e-01
1.139952333485953950e+01,4.576987306453534465e+00,8.436264363113697984e-01
1.139952334222195418e+01,4.576987312297497112e+00,8.436264359069053365e-01
1.139952334892110031e+01,4.576987317596301175e+00,8.436264354908862284e-01
1.139952335503053149e+01,4.576987322412525039e+00,8.436264350734974382e-01
