# q1,q2,q3
8.468447434159728227e-01,-1.409765498790123806e+00,2.729653058882649738e-02
8.468447711376554388e-01,-1.409764967420306991e+00,2.729835990907295354e-02
8.468447972190698003e-01,-1.409764475250549154e+00,2.730008274958183392e-02
8.468448217573061321e-01,-1.409764019362536258e+00,2.730170129958970140e-02
8.468448448437000398e-01,-1.409763597058799167e+00,2.730321825427164950e-02
8.468448665641753470e-01,-1.409763205845520284e+00,2.730463671728910677e-02
8.468448869995660599e-01,-1.409762843416740630e+00,2.730596011468760728e-02
8.468449062259185700e-01,-1.409762507639848117e+00,2.730719211913080688e-02
8.468449243147763150e-01,-1.409762196542234447e+00,2.730833658352645535e-02
8.468449413334465659e-01,-1.409761908299019817e+00,2.730939748316651983e-02
8.468449573452522250e-01,-1.409761641221756623e+00,2.731037886556721833e-02
8.468449724097677489e-01,-1.409761393748027114e+00,2.731128480725525040e-02
8.468449865830415257e-01,-1.409761164431861946e+00,2.731211937680401089e-02
8.468449999178047083e-01,-1.409760951934909912e+00,2.731288660347800171e-02
8.468450124636677234e-01,-1.409760755018297784e+00,2.731359045089504223e-02
8.468450242673052353e-01,-1.409760572535123879e+00,2.731423479516434383e-02
8.468450353726300062e-01,-1.409760403423532260e+00,2.731482340700391170e-02
8.468450458209564324e-01,-1.409760246700322295e+00,2.731535993738348767e-02
8.468450556511540883e-01,-1.409760101455049819e+00,2.731584790627903520e-02
8.468450648997927210e-01,-1.409759966844579937e+00,2.731629069416199526e-02
8.468450736012785862e-01,-1.409759842088057047e+00,2.731669153588118723e-02
8.468450817879819015e-01,-1.409759726462256779e+00,2.731705351662742920e-02
8.468450894903579718e-01,-1.409759619297292765e+00,2.731737956970068867e-02
8.468450967370599880e-01,-1.409759519972647368e+00,2.731767247582733010e-02
8.468451035550461636e-01,-1.409759427913503282e+00,2.731793486380033192e-02
8.468451099696795437e-01,-1.409759342587351583e+00,2.731816921223895536e-02
8.468451160048227067e-01,-1.409759263500855342e+00,2.731837785228584739e-02
8.468451216829265826e-01,-1.409759190196948619e+00,2.731856297107939507e-02
8.468451270251136087e-01,-1.409759122252152386e+00,2.731872661585724865e-02
8.468451320512568881e-01,-1.409759059274092508e+00,2.731887069856354239e-02
8.468451367800535756e-01,-1.409759000899202475e+00,2.731899700084735802e-02
8.468451412290947111e-01,-1.409758946790597101e+00,2.731910717935379790e-02
8.468451454149307223e-01,-1.409758896636105430e+00,2.731920277122141735e-02
8.468451493531329310e-01,-1.409758850146449749e+00,2.731928519971110053e-02
8.468451530583512854e-01,-1.409758807053559382e+00,2.731935577990161554e-02
8.468451565443692042e-01,-1.409758767109010158e+00,2.731941572439631691e-02
8.468451598241545364e-01,-1.409758730082579348e+00,2.731946614899361664e-02
8.468451629099079669e-01,-1.409758695760907621e+00,2.731950807828134944e-02
