# Fx,Fy
0.000000000000000000e+00,3.141778943374795574e-01
0.000000000000000000e+00,3.132688186904913907e-01
0.000000000000000000e+00,3.035170287709865189e-01
0.000000000000000000e+00,2.959671284533027524e-01
0.000000000000000000e+00,2.902269765706150251e-01
0.000000000000000000e+00,2.859660085475523861e-01
0.000000000000000000e+00,2.742424675685212199e-01
0.000000000000000000e+00,2.658388751650447857e-01
0.000000000000000000e+00,2.514694178960763526e-01
0.000000000000000000e+00,2.329677525306544927e-01
0.000000000000000000e+00,2.204412392614724103e-01
0.000000000000000000e+00,2.127434802891570165e-01
0.000000000000000000e+00,2.089169676902891126e-01
0.000000000000000000e+00,2.081702959078840509e-01
0.000000000000000000e+00,2.098447421791338474e-01
0.000000000000000000e+00,2.047177117315435169e-01
0.000000000000000000e+00,2.033217179155805132e-01
0.000000000000000000e+00,2.048365657931078276e-01
0.000000000000000000e+00,2.085678262635026758e-01
0.000000000000000000e+00,2.139411588126821639e-01
0.000000000000000000e+00,2.204807509211198502e-01
0.000000000000000000e+00,2.277925627037130640e-01
0.000000000000000000e+00,2.355512002055226706e-01
0.000000000000000000e+00,2.434894897198003338e-01
0.000000000000000000e+00,2.513900639138577642e-01
0.000000000000000000e+00,2.590784501551401942e-01
0.000000000000000000e+00,2.664172862514702089e-01
0.000000000000000000e+00,2.733013896572145107e-01
0.000000000000000000e+00,2.796534812828688210e-01
0.000000000000000000e+00,2.854204206523169862e-01
0.000000000000000000e+00,2.905698500582121202e-01
0.000000000000000000e+00,2.950871752092454336e-01
0.000000000000000000e+00,2.902988550354002051e-01
0.000000000000000000e+00,2.872178406777731174e-01
0.000000000000000000e+00,2.854369518668209427e-01
0.000000000000000000e+00,2.846215059289503024e-01
0.000000000000000000e+00,2.845105770060812889e-01
0.000000000000000000e+00,2.849008725200941061e-01
0.000000000000000000e+00,2.856342796558564157e-01
0.000000000000000000e+00,2.865882541292530394e-01
0.000000000000000000e+00,2.876683715006350672e-01
0.000000000000000000e+00,2.888025259689908086e-01
0.000000000000000000e+00,2.899363865849691191e-01
0.000000000000000000e+00,2.910298155821977595e-01
0.000000000000000000e+00,2.920540253281389553e-01
0.000000000000000000e+00,2.929893047648085558e-01
0.000000000000000000e+00,2.938231873451435661e-01
0.000000000000000000e+00,2.945489635605319512e-01
0.000000000000000000e+00,2.951644646238138492e-01
0.000000000000000000e+00,2.956710615609803305e-01
0.000000000000000000e+00,2.960728372750454085e-01
0.000000000000000000e+00,2.963758991420439859e-01
0.000000000000000000e+00,2.965878071905359015e-01
0.000000000000000000e+00,2.967170985198336330e-01
0.000000000000000000e+00,2.967728927940893602e-01
0.000000000000000000e+00,2.967645667664103870e-01
0.000000000000000000e+00,2.967014881084401035e-01
0.000000000000000000e+00,2.965928005503698506e-01
0.000000000000000000e+00,2.964472536294210370e-01
0.000000000000000000e+00,2.962730713178268749e-01
0.000000000000000000e+00,2.960778545409065154e-01
0.000000000000000000e+00,2.958685131695587556e-01
0.000000000000000000e+00,2.956512235255759347e-01
0.000000000000000000e+00,2.954314078099662400e-01
0.000000000000000000e+00,2.952137321795922364e-01
0.000000000000000000e+00,2.950021204738556557e-01
0.000000000000000000e+00,2.947997808447172519e-01
0.000000000000000000e+00,2.946092427778995715e-01
0.000000000000000000e+00,2.857583091124316077e-01
0.000000000000000000e+00,2.792504272996565451e-01
0.000000000000000000e+00,2.659830514915323407e-01
0.000000000000000000e+00,2.479437164228703860e-01
0.000000000000000000e+00,2.353697563131118553e-01
0.000000000000000000e+00,2.272239507369033795e-01
0.000000000000000000e+00,2.139681596238907080e-01
0.000000000000000000e+00,2.058867846811340829e-01
0.000000000000000000e+00,2.019566618732537844e-01
0.000000000000000000e+00,2.013150752477399497e-01
0.000000000000000000e+00,2.032451423000403157e-01
0.000000000000000000e+00,2.071480342770437577e-01
0.000000000000000000e+00,2.125217755286068488e-01
0.000000000000000000e+00,2.189449773888868522e-01
0.000000000000000000e+00,2.260642209884405895e-01
0.000000000000000000e+00,2.335841305571284554e-01
0.000000000000000000e+00,2.412594263369344239e-01
0.000000000000000000e+00,2.488884330018525937e-01
0.000000000000000000e+00,2.563076599611691098e-01
0.000000000000000000e+00,2.633871751570177056e-01
0.000000000000000000e+00,2.700265724055844752e-01
0.000000000000000000e+00,2.761513904307910661e-01
0.000000000000000000e+00,2.817098844382082135e-01
0.000000000000000000e+00,2.866700821477108363e-01
0.000000000000000000e+00,2.910170785284710293e-01
0.000000000000000000e+00,2.947505392562221882e-01
0.000000000000000000e+00,2.978823938138391858e-01
0.000000000000000000e+00,3.004347064522233657e-01
0.000000000000000000e+00,3.024377178839021685e-01
0.000000000000000000e+00,3.039280533234434145e-01
0.000000000000000000e+00,3.049470938666820619e-01
0.000000000000000000e+00,3.055395086273360317e-01
0.000000000000000000e+00,3.057519448337936430e-01
0.000000000000000000e+00,3.056318724622997252e-01
0.000000000000000000e+00,3.052265791164804343e-01
0.000000000000000000e+00,3.045823098849909094e-01
0.000000000000000000e+00,3.037435459115694902e-01
0.000000000000000000e+00,3.027524144616555724e-01
0.000000000000000000e+00,3.016482224161592951e-01
0.000000000000000000e+00,2.917931462897138672e-01
0.000000000000000000e+00,2.842232743657713279e-01
0.000000000000000000e+00,2.698656808853044931e-01
0.000000000000000000e+00,2.507352188614042632e-01
0.000000000000000000e+00,2.284448557792334578e-01
0.000000000000000000e+00,2.129427395240557352e-01
0.000000000000000000e+00,2.029543207764039625e-01
0.000000000000000000e+00,1.887444880563693417e-01
0.000000000000000000e+00,1.804299598099656787e-01
0.000000000000000000e+00,1.768464854487877824e-01
0.000000000000000000e+00,1.683409723804402125e-01
0.000000000000000000e+00,1.564441231781033004e-01
0.000000000000000000e+00,1.509994089917243709e-01
0.000000000000000000e+00,1.419712015392415871e-01
0.000000000000000000e+00,1.392059120707955788e-01
0.000000000000000000e+00,1.413228167784780220e-01
0.000000000000000000e+00,1.470972645607326879e-01
0.000000000000000000e+00,1.556609105140160931e-01
0.000000000000000000e+00,1.662086123094452805e-01
0.000000000000000000e+00,1.780729616408194271e-01
0.000000000000000000e+00,1.907025525742372940e-01
0.000000000000000000e+00,2.036445503048067707e-01
0.000000000000000000e+00,2.165306049980203484e-01
0.000000000000000000e+00,2.290652545941795903e-01
0.000000000000000000e+00,2.410161900292340231e-01
0.000000000000000000e+00,2.522059276312577092e-01
0.000000000000000000e+00,2.625045603359416058e-01
0.000000000000000000e+00,2.718233527700297802e-01
0.000000000000000000e+00,2.801090135097983325e-01
0.000000000000000000e+00,2.873385272624456865e-01
0.000000000000000000e+00,2.935144651420418249e-01
0.000000000000000000e+00,2.986607162424981254e-01
0.000000000000000000e+00,3.028186010809957862e-01
0.000000000000000000e+00,3.060433392441097578e-01
0.000000000000000000e+00,3.084008512493247034e-01
0.000000000000000000e+00,3.099648793780768186e-01
0.000000000000000000e+00,3.108144148923924766e-01
0.000000000000000000e+00,3.110314202455743970e-01
0.000000000000000000e+00,3.106988351056660935e-01
0.000000000000000000e+00,3.098988545742009659e-01
0.000000000000000000e+00,3.087114671593726989e-01
0.000000000000000000e+00,3.072132390424631154e-01
0.000000000000000000e+00,3.054763300999330244e-01
0.000000000000000000e+00,3.035677261147029515e-01
0.000000000000000000e+00,3.015486707034692460e-01
0.000000000000000000e+00,2.994742797553096025e-01
0.000000000000000000e+00,2.973933206543932783e-01
0.000000000000000000e+00,2.953481382678529998e-01
0.000000000000000000e+00,2.933747096247779629e-01
0.000000000000000000e+00,2.915028093951393950e-01
0.000000000000000000e+00,2.810831608272601478e-01
0.000000000000000000e+00,2.644893334815290320e-01
0.000000000000000000e+00,2.436266988119700772e-01
0.000000000000000000e+00,2.286826951356546456e-01
0.000000000000000000e+00,2.099073405403001358e-01
0.000000000000000000e+00,1.973986943735406285e-01
0.000000000000000000e+00,1.813101131014049905e-01
0.000000000000000000e+00,1.716496058811145531e-01
0.000000000000000000e+00,1.584940933531309160e-01
0.000000000000000000e+00,1.517814216923529802e-01
0.000000000000000000e+00,1.501988071152771109e-01
0.000000000000000000e+00,1.439689416829292856e-01
0.000000000000000000e+00,1.431596378202787401e-01
0.000000000000000000e+00,1.465673579254661574e-01
0.000000000000000000e+00,1.530917867008163569e-01
0.000000000000000000e+00,1.619985004595203559e-01
0.000000000000000000e+00,1.725723571262133271e-01
0.000000000000000000e+00,1.842188775000708212e-01
0.000000000000000000e+00,1.964460364750364452e-01
0.000000000000000000e+00,2.088495299344261813e-01
0.000000000000000000e+00,2.211007724070079838e-01
0.000000000000000000e+00,2.329369184847462915e-01
0.000000000000000000e+00,2.441523938430245622e-01
0.000000000000000000e+00,2.545915653626223962e-01
0.000000000000000000e+00,2.641422859123415678e-01
0.000000000000000000e+00,2.727301270807314104e-01
0.000000000000000000e+00,2.803131696043631438e-01
0.000000000000000000e+00,2.868772617983811335e-01
0.000000000000000000e+00,2.924316850246344579e-01
