# ex,ey
1.537895809144984582e-06,6.458001474557439892e-07
1.538416964930178210e-06,6.451960233438969183e-07
1.538938508183207432e-06,6.445916130165540991e-07
1.539460442234741322e-06,6.439869167929046512e-07
1.539982770304426651e-06,6.433819351309155721e-07
1.540505495389865587e-06,6.427766685718205864e-07
1.541028621154794109e-06,6.421711174348088136e-07
1.541552150596814386e-06,6.415652821223361002e-07
1.542076087046595489e-06,6.409591630646138682e-07
1.542600434056851100e-06,6.403527607473646910e-07
1.543125194625183383e-06,6.397460753787553855e-07
1.543650372193283715e-06,6.391391074861418886e-07
1.544175969980798868e-06,6.385318574581022588e-07
1.544701991429420218e-06,6.379243256693367670e-07
1.545228439869816839e-06,6.373165124945456839e-07
1.545755318521635502e-06,6.367084182945514925e-07
1.546282630826567583e-06,6.361000434024211003e-07
1.546810380115282157e-06,6.354913882483659293e-07
1.547338569718448298e-06,6.348824531932084625e-07
1.547867203077757381e-06,6.342732385145044560e-07
1.548396283634900783e-06,6.336637446147097563e-07
1.548925814498502973e-06,6.330539719517913611e-07
1.549455799221277630e-06,6.324439206090159971e-07
1.549986241244916130e-06,6.318335912108841157e-07
1.550517143900087547e-06,6.312229838961735950e-07
1.551048510628483257e-06,6.306120990673402815e-07
1.551580344871794637e-06,6.300009369186732044e-07
1.552112649960690760e-06,6.293894980052838761e-07
1.552645429558907608e-06,6.287777824381945990e-07
1.553178686775069650e-06,6.281657906892501586e-07
1.553712425272912867e-06,6.275535229943729476e-07
1.554246648605150938e-06,6.269409796311187222e-07
1.554781359991430634e-06,6.263281608631654507e-07
1.555316563095487936e-06,6.257150670097022527e-07
1.555852261247991919e-06,6.251016984037960356e-07
1.556388457890633958e-06,6.244880552813691921e-07
1.556925156798172338e-06,6.238741379199774784e-07
1.557462361301276133e-06,6.232599466110544384e-07
1.558000074841636717e-06,6.226454815488891015e-07
1.558538301082990074e-06,6.220307430943039506e-07
1.559077043356005277e-06,6.214157314554658029e-07
1.559616305435440609e-06,6.208004467572747487e-07
1.560156090651965144e-06,6.201848894299422099e-07
1.560696402669314864e-06,6.195690595983682769e-07
1.561237245151225750e-06,6.189529575539864936e-07
1.561778621428366876e-06,6.183365835327192528e-07
1.562320535164474222e-06,6.177199377566111593e-07
1.562862989912261469e-06,6.171030204338290304e-07
1.563405989335464596e-06,6.164858317864174708e-07
1.563949537097819587e-06,6.158683720502988734e-07
1.564493636641017815e-06,6.152506413364955407e-07
1.565038291406750659e-06,6.146326400474633189e-07
1.565583505502843309e-06,6.140143681138132692e-07
1.566129282259964839e-06,6.133958259380012379e-07
1.566675625341851230e-06,6.127770135894161641e-07
1.567222538301216161e-06,6.121579312345915014e-07
1.567770025023840219e-06,6.115385790955718548e-07
1.568318088951414779e-06,6.109189573111351024e-07
1.568866733747675823e-06,6.102990660478146978e-07
1.569415963298403938e-06,6.096789054860218826e-07
1.569965781045290498e-06,6.090584758478012617e-07
1.570516190874116091e-06,6.084377771470306229e-07
1.571067196337594396e-06,6.078168096473879345e-07
1.571618801321505998e-06,6.071955733766287722e-07
1.572171009267542274e-06,6.065740684874088018e-07
1.572723824172506113e-06,6.059522951740170527e-07
1.573277249589111193e-06,6.053302535058424638e-07
1.573831289292115798e-06,6.047079436077851256e-07
1.574385947167300515e-06,6.040853656880118550e-07
1.574941226767379021e-06,6.034625197187670764e-07
1.575497131978131904e-06,6.028394057416841534e-07
1.576053666574317447e-06,6.022160240620744176e-07
1.576610834330693933e-06,6.015923746244267178e-07
1.577168638910997345e-06,6.009684574842522053e-07
1.577727084201008267e-06,6.003442728358399094e-07
1.578286174086507287e-06,5.997198207069454057e-07
1.578845912342252689e-06,5.990951011808354210e-07
1.579406302743002755e-06,5.984701142713877431e-07
1.579967349063515769e-06,5.978448601312580379e-07
1.580529055300594621e-06,5.972193388020796689e-07
1.581091425117975291e-06,5.965935501589525458e-07
1.581654462623482971e-06,5.959674943822879101e-07
1.582218171480853641e-06,5.953411715414747007e-07
1.582782555575867889e-06,5.947145815810017666e-07
1.583347618794306300e-06,5.940877245841358345e-07
1.583913365132971762e-06,5.934606005786324801e-07
1.584479798366622560e-06,5.928332094395916130e-07
1.585046922381039280e-06,5.922055513335466870e-07
1.585614741284047113e-06,5.915776261494753996e-07
1.586183258961426645e-06,5.909494339845222655e-07
1.586752479187936160e-06,5.903209747276649821e-07
1.587322405960378546e-06,5.896922484760480643e-07
1.587893043164534390e-06,5.890632551464047850e-07
1.588464394908228883e-06,5.884339947109795688e-07
1.589036465077242610e-06,5.878044672391613545e-07
1.589609257779400764e-06,5.871746725366611130e-07
1.590182776789461627e-06,5.865446105618454808e-07
1.590757026215250391e-06,5.859142814534923360e-07
1.591332010164592248e-06,5.852836849895570737e-07
1.591907732412245480e-06,5.846528211284063303e-07
1.592484197066035279e-06,5.840216899116734695e-07
1.593061408344809138e-06,5.833902912144584008e-07
1.593639369912303039e-06,5.827586247869609437e-07
1.594218086209409080e-06,5.821266908651034910e-07
1.594797561121907847e-06,5.814944890464301963e-07
1.595377798535579927e-06,5.808620194697189376e-07
1.595958802891317418e-06,5.802292818990473222e-07
1.596540577963878604e-06,5.795962764315598648e-07
1.597123127972110979e-06,5.789630026231673554e-07
1.597706457134862035e-06,5.783294605710143088e-07
1.598290569226890057e-06,5.776956501502006347e-07
1.598875468800109445e-06,5.770615712358262428e-07
1.599461159629278484e-06,5.764272235919687404e-07
1.600047646044266969e-06,5.757926071353614006e-07
1.600634932152900092e-06,5.751577217133485576e-07
1.601223022063003043e-06,5.745225672565412722e-07
1.601811919993423317e-06,5.738871434596282128e-07
1.602401630051986103e-06,5.732514501699537135e-07
1.602992156457538897e-06,5.726154873181288352e-07
1.603583503428929191e-06,5.719792546404756095e-07
1.604175675073982177e-06,5.713427519843383706e-07
1.604768675722567650e-06,5.707059793080837551e-07
1.605362509593533105e-06,5.700689362647670677e-07
1.605957180905726034e-06,5.694316226045881280e-07
1.606552693877993931e-06,5.687940382304024212e-07
1.607149052840206593e-06,5.681561828646541912e-07
1.607746261789166908e-06,5.675180562575432575e-07
1.608344325276789277e-06,5.668796582147805907e-07
1.608943247521921194e-06,5.662409885281993738e-07
1.609543032632387849e-06,5.656020469063660627e-07
1.610143685271125946e-06,5.649628331549916282e-07
1.610745209323916072e-06,5.643233469826425264e-07
1.611347609342672627e-06,5.636835882089075156e-07
1.611950889768287709e-06,5.630435565978642032e-07
1.612555054597564208e-06,5.624032517470567427e-07
1.613160108493438827e-06,5.617626733928071658e-07
1.613766055674759059e-06,5.611218213408264432e-07
1.614372900471394701e-06,5.604806952164143041e-07
1.614980647324237850e-06,5.598392948807928704e-07
1.615589300674180606e-06,5.591976198621173566e-07
1.616198864740070462e-06,5.585556698967097944e-07
1.616809343962799517e-06,5.579134447070144276e-07
1.617420743005304473e-06,5.572709439322087732e-07
1.618033065975410523e-06,5.566281672253481361e-07
1.618646317647076671e-06,5.559851144129601686e-07
1.619260502017105807e-06,5.553417849399333583e-07
1.619875623970479239e-06,5.546981786605509335e-07
1.620491687726044461e-06,5.540542949919458060e-07
1.621108697946738175e-06,5.534101338022789918e-07
1.621726658962430179e-06,5.527656945711334480e-07
1.622345575102990267e-06,5.521209769654422672e-07
1.622965451364422051e-06,5.514759806590774360e-07
1.623586291854550723e-06,5.508307051593774872e-07
1.624208101125290682e-06,5.501851501679699830e-07
1.624830883839578632e-06,5.495393152060712438e-07
1.625454644660351278e-06,5.488932000030644076e-07
1.626079387806456111e-06,5.482468041079213705e-07
1.626705118162874442e-06,5.476001270626751349e-07
1.627331840281520670e-06,5.469531684787476422e-07
1.627959558492264591e-06,5.463059278287829557e-07
1.628588277569065212e-06,5.456584047242030167e-07
1.629218002174859237e-06,5.450105987347964032e-07
1.629848736861561065e-06,5.443625093956572236e-07
1.630480486403129703e-06,5.437141363182074194e-07
1.631113255018412644e-06,5.430654788640687514e-07
1.631747047814435803e-06,5.424165367348687816e-07
1.632381869232091276e-06,5.417673093408015284e-07
1.633017724045338070e-06,5.411177963210445085e-07
1.633654616917112889e-06,5.404679969678305440e-07
1.634292552399330134e-06,5.398179110382983481e-07
1.634931535376971112e-06,5.391675378385585304e-07
1.635571570512972528e-06,5.385168769869719263e-07
1.636212662581293387e-06,5.378659279353659173e-07
1.636854816133848090e-06,5.372146900314844764e-07
1.637498036166640247e-06,5.365631628867495451e-07
1.638142327342606563e-06,5.359113458558439902e-07
1.638787694324683741e-06,5.352592384322285568e-07
1.639434141997853089e-06,5.346068401787529289e-07
1.640081675247095916e-06,5.339541503876499284e-07
1.640730298735348924e-06,5.333011685246247247e-07
1.641380017347593423e-06,5.326478940415046992e-07
1.642030835746766115e-06,5.319943262027670983e-07
1.642682759039892915e-06,5.313404646822839084e-07
1.643335791889910524e-06,5.306863085641211342e-07
1.643989939070777950e-06,5.300318575221507622e-07
1.644645205800543408e-06,5.293771108000333570e-07
1.645301596631121299e-06,5.287220677940851488e-07
1.645959116669537536e-06,5.280667280602169278e-07
1.646617770578728823e-06,5.274110906478002292e-07
1.647277563576743376e-06,5.267551551543792066e-07
1.647938500437540199e-06,5.260989207889199548e-07
1.648600586046100602e-06,5.254423869893720678e-07
1.649263825398428196e-06,5.247855530549072611e-07
